City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,berriane,32.8265,3.7669,288.6,51,0,1.58,DZ,1700434957
83,pisco,-13.7,-76.2167,293.18,83,100,4.12,PE,1700434632
84,utrik,11.2278,169.8474,301.18,76,1,8.78,MH,1700434624
85,bredasdorp,-34.5322,20.0403,290.33,81,100,1.59,ZA,1700434603
86,port elizabeth,-33.918,25.5701,291.66,91,40,2.57,ZA,1700434607
87,kodiak,57.79,-152.4072,271.88,55,20,5.14,US,1700434605
88,shingu,33.7333,135.9833,287.2,67,3,4.7,JP,1700434686
89,tiksi,71.6872,128.8694,246.48,100,100,1.51,RU,1700434627
90,lagunas,-5.2269,-75.6753,305.28,48,78,1.53,PE,1700434959
91,college,64.8569,-147.8028,261.53,83,100,1.54,US,1700434615
92,jamestown,42.097,-79.2353,279.1,70,100,2.57,US,1700434526
93,santo domingo de los colorados,-0.25,-79.15,295.93,90,100,0.32,EC,1700434960
94,enewetak,11.3474,162.3373,301.41,76,69,8.79,MH,1700434670
95,south hedland,-20.4089,118.5983,300.11,50,21,2.57,AU,1700434960
96,ouani,-12.1322,44.4258,300.97,77,3,4.4,KM,1700434960
97,kirakira,-10.4544,161.9205,301.45,81,29,8.22,SB,1700434961
98,togur,58.3631,82.8265,264.21,86,100,6.09,RU,1700434961
99,saint johnsbury,44.4192,-72.0151,275.28,83,100,3.09,US,1700434961
100,abeche,13.8292,20.8324,297.01,22,99,5.15,TD,1700434961
101,whitehorse,60.7161,-135.0538,258.2,65,20,0.0,CA,1700434524
102,ust-nera,64.5667,143.2,241.94,99,93,0.8,RU,1700434612
103,de aar,-30.6497,24.0123,296.05,21,71,2.44,ZA,1700434706
104,hilo,19.7297,-155.09,302.19,65,40,5.66,US,1700434617
105,happy valley-goose bay,53.3168,-60.3315,269.32,74,75,4.63,CA,1700434597
106,vadso,70.0744,29.7487,266.24,79,20,4.12,NO,1700434962
107,mary,37.0,62.5,291.09,40,0,5.61,TM,1700434761
108,horta,38.5333,-28.6333,287.05,80,97,11.62,PT,1700434691
109,olonets,60.9847,32.9698,264.77,95,81,2.31,RU,1700434963
110,remire-montjoly,4.9167,-52.2667,301.17,83,20,2.06,GF,1700434621
111,pizhou,34.3114,117.9503,279.36,73,0,2.7,CN,1700434963
112,claveria,18.6074,121.0832,296.63,80,78,5.79,PH,1700434964
113,vallenar,-28.5708,-70.7581,290.29,62,100,2.18,CL,1700434829
114,chonchi,-42.6128,-73.8092,284.88,97,100,5.63,CL,1700434638
115,lata,40.1629,-8.3327,287.08,90,7,1.07,PT,1700434701
116,palangkaraya,-2.2,113.8333,298.53,89,80,0.65,ID,1700434965
117,nemuro,43.3236,145.575,281.24,77,100,7.74,JP,1700434678
118,fort bragg,35.139,-79.006,287.47,53,0,0.0,US,1700434622
119,punta arenas,-53.15,-70.9167,281.21,49,0,4.12,CL,1700434434
120,iqaluit,63.7506,-68.5145,268.0,85,100,0.0,CA,1700434613
121,tazovsky,67.4667,78.7,244.84,94,26,4.08,RU,1700434610
122,laojunmiao,39.8333,97.7333,272.65,20,100,0.71,CN,1700434595
123,taulaga,-11.0553,-171.0883,301.77,77,17,7.53,AS,1700434966
124,baikonur,45.6167,63.3167,275.16,66,64,5.41,KZ,1700434967
125,portland,45.5234,-122.6762,285.94,72,59,1.34,US,1700434830
126,isangel,-19.55,169.2667,300.53,60,1,4.8,VU,1700434967
127,letlhakeng,-24.0944,25.0298,296.57,45,62,1.91,BW,1700434637
128,kiunga,-6.1219,141.2906,300.33,82,82,1.12,PG,1700434967
129,williamson,30.6502,-97.6003,292.23,94,100,4.12,US,1700434968
130,coquimbo,-29.9533,-71.3436,289.0,82,75,4.12,CL,1700434391
131,kashgar,39.4547,75.9797,277.71,45,0,3.0,CN,1700434968
132,al jawf,29.5,38.75,289.62,46,36,7.64,SA,1700434678
133,udachny,66.4167,112.4,245.56,99,100,3.78,RU,1700434630
134,papatowai,-46.5619,169.4708,288.06,61,28,4.86,NZ,1700434594
135,calatayud,41.3535,-1.6432,283.53,66,61,0.77,ES,1700434969
136,inhambane,-23.865,35.3833,295.62,85,74,3.41,MZ,1700434610
137,aykhal,66.0,111.5,247.13,100,100,5.7,RU,1700434636
138,siracusa,37.0881,15.2792,288.59,54,3,1.99,IT,1700434865
139,west island,-12.1568,96.8225,298.14,78,40,4.63,CC,1700434596
140,mount isa,-20.7333,139.5,298.02,65,92,3.09,AU,1700434671
141,nadvoitsy,63.8667,34.3167,263.56,98,100,2.06,RU,1700434970
142,monterey,36.2505,-121.2516,288.8,1,3,4.86,US,1700434841
143,daru,-9.0763,143.2092,302.0,71,97,5.45,PG,1700434705
144,st. john's,47.5649,-52.7093,279.7,94,100,8.75,CA,1700434601
145,geraldton,-28.7667,114.6,292.38,77,40,2.57,AU,1700434600
146,anadyr,64.75,177.4833,273.43,93,75,15.0,RU,1700434602
147,santa terezinha,-29.9002,-50.0904,290.55,74,0,2.71,BR,1700434640
148,iskateley,67.6803,53.1512,258.16,97,95,3.58,RU,1700434605
149,puerto carreno,6.189,-67.4859,307.14,52,20,2.06,CO,1700434972
150,nar'yan-mar,67.6713,53.087,258.21,97,95,3.58,RU,1700434602
151,zeribet el oued,34.6828,6.5111,288.88,62,0,0.48,DZ,1700434972
152,khovd,48.0056,91.6419,271.16,62,6,3.45,MN,1700434709
153,invercargill,-46.4,168.35,290.38,66,17,1.34,NZ,1700434619
154,port lincoln,-34.7333,135.8667,289.22,70,100,4.04,AU,1700434602
155,dolyna,48.9733,24.0094,274.99,85,100,1.69,UA,1700434973
156,port blair,11.6667,92.75,300.17,78,40,2.06,IN,1700434973
157,tinajo,29.0788,-13.7081,290.64,45,0,1.03,ES,1700434973
158,horsham,51.064,-0.3272,285.06,79,40,4.63,GB,1700434974
159,winnemucca,40.973,-117.7357,278.26,34,88,8.69,US,1700434747
160,benevides,-1.3614,-48.2447,302.04,88,95,2.17,BR,1700434974
161,san patricio,28.017,-97.5169,297.68,77,100,5.4,US,1700434687
162,zag,46.9441,99.165,266.81,78,100,1.68,MN,1700434975
163,nagqu,31.5,92.0,268.05,51,100,1.42,CN,1700434676
164,burang,30.25,81.1667,268.75,39,0,1.3,CN,1700434975
165,santarem,-2.4431,-54.7083,305.22,66,20,3.6,BR,1700434976
166,bilibino,68.0546,166.4372,255.88,95,100,2.05,RU,1700434472
167,new norfolk,-42.7826,147.0587,291.44,42,54,0.55,AU,1700434617
168,kurumkan,54.3,110.3,271.0,95,70,1.79,RU,1700434976
169,stanley,54.868,-1.6985,283.44,94,75,5.66,GB,1700434595
170,kuta,-8.7233,115.1723,299.12,83,40,1.03,ID,1700434977
171,marataizes,-21.0433,-40.8244,296.88,94,99,4.11,BR,1700434977
172,poronaysk,49.2167,143.1167,272.87,78,100,4.53,RU,1700434685
173,trevelin,-43.0858,-71.4639,284.86,93,100,3.35,AR,1700434978
174,swakopmund,-22.6833,14.5333,288.7,90,55,2.24,NA,1700434978
175,humberto de campos,-2.5983,-43.4611,299.97,81,71,3.59,BR,1700434978
176,plock,52.5468,19.7064,274.36,100,100,2.9,PL,1700434979
177,hermanus,-34.4187,19.2345,290.97,78,100,1.43,ZA,1700434613
178,tongchuanshi,35.0806,109.0897,279.94,33,0,0.93,CN,1700434979
179,zaozersk,69.4005,32.4476,259.58,97,100,2.88,RU,1700434708
180,longyearbyen,78.2186,15.6401,261.67,92,100,1.06,SJ,1700434607
181,bougouni,11.417,-7.479,299.82,27,88,1.38,ML,1700434980
